,album_title,artist,release_date,score
1,I See a Darkness,Bonnie 'Prince' Billy,"January 19, 1999",100
2,In the Aeroplane Over the Sea,Neutral Milk Hotel,"February 10, 1998",100
3,The Hissing of Summer Lawns,Joni Mitchell,"November 8, 1975",100
4,Blood on the Tracks,Bob Dylan,"January 20, 1975",100
5,Court and Spark,Joni Mitchell,"January 1, 1974",100
6,Pink Moon,Nick Drake,"February 25, 1972",100
7,Blue,Joni Mitchell,"June 22, 1971",100
8,After the Gold Rush,Neil Young,"September 19, 1970",100
9,Bryter Layter,Nick Drake,"November 1, 1970",97
10,I Never Even Asked for Light,Lullaby for the Working Class,"October 21, 1997",96
11,Songs of Leonard Cohen,Leonard Cohen,"December 27, 1967",96
12,"Bon Iver, Bon Iver",Bon Iver,"June 21, 2011",95
13,On The Beach,Neil Young,"July 16, 1974",95
14,Five Leaves Left,Nick Drake,"September 1, 1969",95
15,Ys,Joanna Newsom,"November 14, 2006",94
16,Bridge Over Troubled Water,Simon & Garfunkel,"January 26, 1970",94
17,Carrie & Lowell,Sufjan Stevens,"March 31, 2015",93
18,The Bootleg Series Vol. 7: No Direction Home: the Soundtrack,Bob Dylan,"August 30, 2005",93
19,Unhalfbricking,Fairport Convention,"July 1, 1969",93
20,Benji,Sun Kil Moon,"February 11, 2014",92
21,Have One on Me,Joanna Newsom,"February 23, 2010",92
22,Illinois,Sufjan Stevens,"July 5, 2005",92
23,The Glow Pt. 2,The Microphones,"September 25, 2001",92
24,Shields,Grizzly Bear,"September 18, 2012",91
25,The Bootleg Series Vol. 9: The Witmark Demos: 1962,Bob Dylan,"October 19, 2010",91
26,The Bootleg Series Vol. 6: Bob Dylan Live 1964,Bob Dylan,"March 30, 2004",91
27,Bad Timing,Jim O'Rourke,"August 25, 1997",91
28,For the Roses,Joni Mitchell,"November 0, 1972",91
29,A Crow Looked at Me,Mount Eerie,"March 24, 2017",90
30,Veckatimest,Grizzly Bear,"May 26, 2009",90
31,Fleet Foxes,Fleet Foxes,"June 3, 2008",90
32,Songs for a Blue Guitar,Red House Painters,"July 23, 1996",90
33,Red House Painters (Rollercoaster),Red House Painters,"May 24, 1993",90
34,Torch of the Mystics,Sun City Girls,"January 1, 1990",90
35,In My Own Time,Karen Dalton,"January 1, 1971",90
36,Just Another Diamond Day,Vashti Bunyan,"December 1, 1970",90
37,Sweetheart of the Rodeo,The Byrds,"August 30, 1968",90
38,Sung Tongs,Animal Collective,"June 1, 2004",89
39,You Are Free,Cat Power,"February 18, 2003",89
40,Central Reservation,Beth Orton,"March 9, 1999",89
41,Bunny Gets Paid,Red Red Meat,"October 10, 1995",89
42,Chelsea Girl,Nico,"October 1, 1967",89
43,"I Love You, Honeybear",Father John Misty,"February 10, 2015",88
44,Lost in the Dream,The War on Drugs,"March 18, 2014",88
45,Muchacho,Phosphorescent,"March 19, 2013",88
46,Helplessness Blues,Fleet Foxes,"May 3, 2011",88
47,Either/Or,Elliott Smith,"February 25, 1997",88
48,Songs from a Room,Leonard Cohen,"April 7, 1969",88
49,What We Did on Our Holidays,Fairport Convention,"January 1, 1969",88
50,Crack,Fleet Foxes,"June 16, 2017",87
51,The Bootleg Series Vol. 10: Another Self Portrait (1969,Bob Dylan,"August 27, 2013",87
52,Lie Down in the Light,Bonnie 'Prince' Billy,"May 20, 2008",87
53,Sun Giant,Fleet Foxes,"April 8, 2008",87
54,The Cloud of Unknowing,James Blackshaw,"June 5, 2007",87
55,New Moon,Elliott Smith,"May 8, 2007",87
56,Joanna Newsom and the Ys Street Band,Joanna Newsom,"April 9, 2007",87
57,Roots & Crowns,Califone,"October 10, 2006",87
58,Yellow House,Grizzly Bear,"September 5, 2006",87
59,"I'm Wide Awake, It's Morning",Bright Eyes,"January 25, 2005",87
60,King of America,Elvis Costello,"February 21, 1986",87
61,Zuma,Neil Young and Crazy Horse,"November 10, 1975",87
62,Judee Sill,Judee Sill,"September 15, 1971",87
63,His Band and the Street Choir,Van Morrison,"November 15, 1970",87
64,Turn Out the Lights,Julien Baker,"October 27, 2017",86
65,Behold The Spirit,William Tyler,"November 22, 2010",86
66,Dark Was The Night,Various Artists,"February 17, 2009",86
67,The Bootleg Series Vol. 8: Tell Tale Signs,Bob Dylan,"October 7, 2008",86
68,The Shepherd's Dog,Iron & Wine,"September 25, 2007",86
69,You Follow Me,Nina Nastasia & Jim White,"May 28, 2007",86
70,Our Endless Numbered Days,Iron & Wine,"March 23, 2004",86
71,Quicksand / Cradlesnakes,Califone,"March 18, 2003",86
72,Everything Is Good Here / Please Come Home,Angels of Light,"January 1, 2003",86
73,Poses,Rufus Wainwright,"June 5, 2001",86
74,Parallelograms,Linda Perhacs,"January 1, 1970",86
75,Now Only,Mount Eerie,"March 16, 2018",85
76,Divers,Joanna Newsom,"October 23, 2015",85
77,Dream River,Bill Callahan,"September 17, 2013",85
78,Wakin on a Pretty Daze,Kurt Vile,"April 9, 2013",85
79,The Wild Hunt,The Tallest Man On Earth,"April 13, 2010",85
80,Furr,Blitzen Trapper,"September 23, 2008",85
81,Friend,Grizzly Bear,"November 5, 2007",85
82,Wild Mountain Nation,Blitzen Trapper,"June 12, 2007",85
83,We Shall Overcome: The Seeger Sessions,Bruce Springsteen,"April 25, 2006",85
84,Lookaftering,Vashti Bunyan,"October 17, 2005",85
85,In the Reins,Calexico & Iron and Wine,"September 12, 2005",85
86,Black Sheep Boy,Okkervil River,"April 5, 2005",85
87,Greetings From Michigan: The Great Lakes State,Sufjan Stevens,"July 1, 2003",85
88,Been Here and Gone,Thalia Zedek,"July 31, 2001",85
89,The Coroner's Gambit,The Mountain Goats,"October 17, 2000",85
90,Hitchhiker,Neil Young,"September 8, 2017",84
91,Rocket,(Sandy) Alex G,"May 19, 2017",84
92,b'lieve i'm goin down,Kurt Vile,"September 25, 2015",84
93,Love's Crushing Diamond,Mutual Benefit,"October 25, 2013",84
94,WIT'S END,Cass McCombs,"April 26, 2011",84
95,Hymns for a Dark Horse,Bowerbirds,"June 17, 2007",84
96,The Crane Wife,The Decemberists,"October 3, 2006",84
97,Cripple Crow,Devendra Banhart,"September 13, 2005",84
98,Rejoicing In The Hands,Devendra Banhart,"May 4, 2004",84
99,Espers,Espers,"January 20, 2004",84
100,Heron King Blues,Califone,"January 20, 2004",84
101,Blush Music,Wovenhand,"February 3, 2003",84
102,How I Long to Feel That Summer in My Heart,Gorky's Zygotic Mynci,"September 18, 2001",84
103,Ocean Beach,Red House Painters,"March 27, 1995",84
104,Not Even Happiness,Julie Byrne,"January 27, 2017",83
105,Front Row Seat to Earth,Weyes Blood,"October 21, 2016",83
106,Light Upon The Lake,Whitney,"June 3, 2016",83
107,Singing Saw,Kevin Morby,"April 15, 2016",83
108,Clear Moon,Mount Eerie,"May 22, 2012",83
109,Rough Travel for a Rare Thing,Bill Callahan,"March 23, 2010",83
110,Little Hells,Marissa Nadler,"March 3, 2009",83
111,Lost Wisdom,Mount Eerie,"October 7, 2008",83
112,Laulu Laakson Kukista,Paavoharju,"July 22, 2008",83
113,Litany of Echoes,James Blackshaw,"June 17, 2008",83
114,April,Sun Kil Moon,"April 1, 2008",83
115,Shallow Grave,The Tallest Man On Earth,"March 18, 2008",83
116,Modern Times,Bob Dylan,"August 29, 2006",83
117,Picaresque,The Decemberists,"March 22, 2005",83
118,School of the Flower,Six Organs of Admittance,"January 25, 2005",83
119,Mountain Rock,Dear Nora,"May 18, 2004",83
120,Ghosts of the Great Highway,Sun Kil Moon,"November 4, 2003",83
121,Hello Starling,Josh Ritter,"September 9, 2003",83
122,Weather Systems,Andrew Bird,"April 1, 2003",83
123,Transfiguration of Vincent,M. Ward,"March 18, 2003",83
124,American Stars 'n Bars,Neil Young,"June 13, 1977",83
125,Reaching for Indigo,Circuit Des Yeux,"October 20, 2017",82
